user_id,departure_address,latitude,longitude,arrival_datetime,max_duration,max_cost,num_passenger,num_luggage,with_children
1,"대전,중구,은행동",36.325645,127.423554,2024-06-10 00:29:43.643158,270,25000,4,2,2
2,"경상북도,구미시,원평동",36.119728,128.344754,2024-07-12 06:50:19.482134,240,20000,5,1,0
3,"경상남도,창원시,상남동",35.23357,128.68104,2024-07-16 17:24:38.634704,210,35000,6,5,3
4,"대전,중구,은행동",36.325645,127.423554,2024-05-22 20:39:10.486006,60,15000,5,1,2
5,"경상북도,구미시,원평동",36.119728,128.344754,2024-06-01 14:02:46.597768,90,30000,6,3,3
6,"대전,중구,은행동",36.325645,127.423554,2024-07-06 06:34:10.333273,270,20000,1,6,1
7,"충청남도,천안시,두정동",36.822743,127.14326,2024-07-11 03:39:38.465354,270,35000,4,5,3
8,"전라남도,순천시,연향동",34.957456,127.488889,2024-06-26 02:31:47.630352,90,25000,5,4,2
9,"울산,남구,삼산동",35.538377,129.337707,2024-06-17 19:24:04.419933,180,15000,4,6,3
10,"부산,사하구,감천동",35.098774,128.967137,2024-06-12 13:55:49.589137,60,30000,3,2,0
11,"충청북도,청주시,용암동",36.614387,127.488491,2024-05-26 17:55:29.421830,150,30000,4,5,2
12,"부산,사하구,감천동",35.098774,128.967137,2024-06-22 09:46:18.894692,210,30000,5,1,2
13,"전라남도,순천시,연향동",34.957456,127.488889,2024-05-29 03:56:18.416226,180,20000,3,5,1
14,"대구,동구,효목동",35.882869,128.636291,2024-07-18 21:40:11.387565,60,35000,2,1,1
15,"전라남도,순천시,연향동",34.957456,127.488889,2024-05-31 12:01:12.243669,60,15000,6,5,3
16,"부산,수영구,광안동",35.153034,129.112549,2024-07-04 00:28:08.223948,90,30000,5,5,2
17,"충청북도,청주시,용암동",36.614387,127.488491,2024-07-08 23:48:50.884529,150,35000,2,3,0
18,"경상북도,구미시,원평동",36.119728,128.344754,2024-05-28 20:20:36.551256,180,35000,5,2,1
19,"강원도,원주시,단구동",37.341945,127.945571,2024-06-21 09:44:44.339314,270,15000,1,5,1
20,"경상북도,포항시,해도동",35.994724,129.374189,2024-06-06 00:46:49.264568,90,15000,4,2,3
21,"대구,수성구,범어동",35.858366,128.628559,2024-06-02 23:33:39.659459,300,30000,5,1,1
22,"강원도,춘천시,퇴계동",37.865694,127.724018,2024-05-26 08:19:47.675726,150,35000,5,2,3
23,"경상북도,포항시,해도동",35.994724,129.374189,2024-06-24 08:47:28.017360,90,20000,2,1,1
24,"경상북도,경주시,성건동",35.841689,129.20476,2024-06-25 18:49:37.456550,150,15000,2,5,2
25,"울산,남구,삼산동",35.538377,129.337707,2024-05-31 05:00:02.775397,270,30000,5,3,2
26,"인천,부평구,부평동",37.490398,126.725359,2024-06-27 17:30:08.640994,150,35000,2,1,1
27,"경상남도,김해시,삼계동",35.227423,128.889092,2024-06-24 03:49:18.258622,240,20000,5,1,0
28,"충청남도,아산시,배방읍",36.775981,127.050716,2024-06-29 23:02:13.165471,180,20000,5,5,3
29,"충청북도,충주시,연수동",36.983476,127.926342,2024-07-15 23:54:58.150323,90,25000,2,2,2
30,"울산,동구,전하동",35.482112,129.429259,2024-06-06 18:29:43.648849,150,15000,3,5,2
31,"광주,서구,치평동",35.151066,126.849492,2024-07-10 14:25:13.540118,120,30000,1,1,2
32,"전라남도,순천시,연향동",34.957456,127.488889,2024-07-14 13:40:12.896753,210,25000,5,4,1
33,"강원도,춘천시,퇴계동",37.865694,127.724018,2024-05-28 05:12:29.479237,60,25000,5,3,0
34,"충청남도,아산시,배방읍",36.775981,127.050716,2024-06-16 11:17:56.639594,90,15000,3,1,0
35,"충청북도,청주시,용암동",36.614387,127.488491,2024-07-02 15:01:25.779329,300,15000,6,2,0
36,"경상남도,진주시,상봉동",35.180434,128.107464,2024-07-06 17:46:07.820436,150,25000,4,3,0
37,"광주,서구,치평동",35.151066,126.849492,2024-05-23 20:36:56.453446,180,30000,5,5,3
38,"경기도,성남시,정자동",37.359978,127.105793,2024-05-24 17:41:00.066837,270,35000,3,2,3
39,"전라북도,익산시,모현동",35.943108,126.945472,2024-06-30 23:54:58.805676,60,25000,5,1,0
40,"충청북도,충주시,연수동",36.983476,127.926342,2024-07-07 18:51:51.947229,120,20000,4,2,0
41,"대구,수성구,범어동",35.858366,128.628559,2024-05-31 02:49:43.334116,300,15000,3,6,2
42,"충청북도,청주시,용암동",36.614387,127.488491,2024-07-16 00:03:58.473749,60,25000,4,1,3
