user_id,departure_address,latitude,longitude,arrival_datetime,num_passenger,num_luggage,car_seats
0,"인천광역시, 미추홀구, 주안동",37.4639,126.6534,2024-06-25 02:14:12.554676,2,5,0
1,"서울특별시, 종로구, 청운동",37.5866,126.9697,2024-06-23 18:47:00.721168,1,0,0
2,"인천광역시, 서구, 청라동",37.5336,126.6552,2024-06-17 02:37:52.887103,4,9,0
3,"서울특별시, 종로구, 청운동",37.5866,126.9697,2024-07-08 03:44:56.253952,2,10,2
4,"인천광역시, 부평구, 부평동",37.4983,126.7246,2024-05-26 20:33:05.708145,4,8,0
5,"경기도, 포천시, 일동면",37.9956,127.3157,2024-07-02 02:57:43.462558,2,9,1
6,"인천광역시, 미추홀구, 주안동",37.4639,126.6534,2024-05-29 08:12:08.095190,3,9,1
7,"경기도, 포천시, 일동면",37.9956,127.3157,2024-07-02 12:47:10.072836,1,5,1
8,"경기도, 고양시, 일산동",37.6783,126.7891,2024-07-08 16:29:55.860415,2,6,0
9,"인천광역시, 남동구, 구월동",37.4489,126.7021,2024-06-27 13:01:59.744140,5,0,1
10,"인천광역시, 미추홀구, 주안동",37.4639,126.6534,2024-06-14 18:36:13.640851,3,1,1
11,"경기도, 고양시, 일산동",37.6783,126.7891,2024-06-19 03:40:45.144245,3,1,0
12,"인천광역시, 미추홀구, 주안동",37.4639,126.6534,2024-06-07 04:21:49.278328,3,6,1
13,"인천광역시, 서구, 청라동",37.5336,126.6552,2024-07-04 16:06:22.474874,4,2,0
14,"서울특별시, 서초구, 서초동",37.4837,127.0324,2024-06-14 02:58:43.284299,6,1,3
15,"인천광역시, 남동구, 구월동",37.4489,126.7021,2024-05-28 10:09:09.894217,4,9,0
16,"경기도, 용인시, 역북동",37.2392,127.1874,2024-07-09 15:58:09.482517,1,7,1
17,"인천광역시, 강화군, 강화읍",37.746,126.487,2024-07-02 12:11:19.907323,6,5,1
18,"서울특별시, 서초구, 서초동",37.4837,127.0324,2024-06-22 06:37:11.643173,1,4,0
19,"경기도, 의정부시, 금오동",37.7316,127.0857,2024-07-06 09:36:12.956758,2,8,3
20,"인천광역시, 남동구, 구월동",37.4489,126.7021,2024-06-24 04:23:04.339352,1,1,0
21,"경기도, 의정부시, 금오동",37.7316,127.0857,2024-06-02 07:21:38.655265,2,10,1
22,"인천광역시, 연수구, 송도동",37.3832,126.6436,2024-07-09 03:00:55.435041,3,10,0
23,"인천광역시, 계양구, 계산동",37.5372,126.7356,2024-05-28 12:47:46.953200,1,10,1
24,"서울특별시, 종로구, 혜화동",37.5823,127.0018,2024-07-14 01:29:15.928077,6,5,1
25,"인천광역시, 계양구, 계산동",37.5372,126.7356,2024-06-06 22:16:59.538794,1,6,1
26,"인천광역시, 중구, 운서동",37.4923,126.4923,2024-06-10 21:59:00.136636,6,10,0
27,"인천광역시, 서구, 청라동",37.5336,126.6552,2024-06-01 05:44:29.991821,6,9,1
28,"인천광역시, 동구, 화수동",37.4735,126.642,2024-05-31 00:17:45.899610,2,2,0
29,"서울특별시, 강남구, 삼성동",37.5145,127.0593,2024-06-13 14:40:06.283018,5,0,2
30,"경기도, 의정부시, 금오동",37.7316,127.0857,2024-06-27 08:39:07.922162,2,1,0
31,"서울특별시, 은평구, 녹번동",37.6009,126.9351,2024-06-27 13:24:04.589986,5,9,1
32,"경기도, 용인시, 역북동",37.2392,127.1874,2024-07-16 03:56:09.288278,6,8,1
33,"경기도, 의정부시, 녹양동",37.7496,127.0779,2024-06-21 00:04:12.349115,3,2,1
34,"경기도, 남양주시, 호평동",37.6532,127.2394,2024-06-30 07:02:42.146982,4,9,0
35,"인천광역시, 중구, 운서동",37.4923,126.4923,2024-07-06 08:51:09.972610,6,1,0
36,"경기도, 부천시, 상동",37.5033,126.7545,2024-07-11 21:33:10.320333,3,4,0
