user_id,departure_address,latitude,longitude,arrival_datetime,max_duration,max_cost,num_passenger,num_luggage,with_children
1,"문흥동, 북구, 광주",35.179975,126.931675,2024-05-26 01:37:41.508706,120,35000,5,4,1
2,"잠실동, 송파구, 서울",37.51154,127.082563,2024-05-29 20:45:43.514899,120,35000,1,1,3
3,"포남동, 강릉시, 강원도",37.753878,128.890478,2024-06-29 09:39:34.949002,210,25000,4,3,2
4,"송천동, 전주시, 전라북도",35.84237,127.106548,2024-06-04 07:48:40.066640,210,25000,3,4,0
5,"용당동, 목포시, 전라남도",34.80924,126.424993,2024-06-28 02:04:09.041753,150,20000,3,5,2
6,"용암동, 청주시, 충청북도",36.614387,127.488491,2024-06-11 03:13:02.623102,210,30000,2,2,0
7,"연수동, 연수구, 인천",37.418887,126.678118,2024-06-06 11:32:13.400571,240,35000,1,5,0
8,"모현동, 익산시, 전라북도",35.943108,126.945472,2024-06-30 16:25:07.431203,210,20000,4,6,0
9,"삼계동, 김해시, 경상남도",35.227423,128.889092,2024-06-02 11:42:25.348360,60,20000,3,5,3
10,"해도동, 포항시, 경상북도",35.994724,129.374189,2024-06-24 19:58:02.223850,300,20000,4,1,3
11,"조촌동, 군산시, 전라북도",35.97358,126.687572,2024-07-17 09:18:16.830172,300,30000,2,3,3
12,"문흥동, 북구, 광주",35.179975,126.931675,2024-06-21 21:22:30.833639,90,25000,3,3,2
13,"두정동, 천안시, 충청남도",36.822743,127.14326,2024-06-15 12:45:33.982543,240,15000,5,6,0
14,"원평동, 구미시, 경상북도",36.119728,128.344754,2024-06-04 08:15:51.916118,210,15000,4,2,2
15,"광안동, 수영구, 부산",35.153034,129.112549,2024-06-21 04:28:17.080687,60,15000,1,5,2
16,"봉명동, 유성구, 대전",36.353342,127.335049,2024-06-29 21:37:23.172123,180,20000,4,3,1
17,"문흥동, 북구, 광주",35.179975,126.931675,2024-05-24 20:23:25.826722,270,35000,2,4,1
