user_id,departure_address,latitude,longitude,arrival_datetime,num_passenger,num_luggage,car_seats
0,"인천광역시, 서구, 청라동",37.5336,126.6552,2024-07-03 22:12:34.268718,6,1,0
1,"서울특별시, 서초구, 서초동",37.4837,127.0324,2024-06-08 16:15:27.882059,3,0,0
2,"인천광역시, 부평구, 부평동",37.4983,126.7246,2024-07-03 19:56:34.105515,5,4,1
3,"서울특별시, 마포구, 상암동",37.5796,126.8903,2024-05-31 13:21:25.003228,4,4,1
4,"서울특별시, 강남구, 삼성동",37.5145,127.0593,2024-06-09 12:33:17.424435,5,10,0
5,"서울특별시, 중구, 소공동",37.5641,126.9753,2024-07-08 16:26:34.137480,6,10,0
6,"서울특별시, 영등포구, 여의도동",37.5245,126.9275,2024-06-30 16:21:09.969426,1,7,0
7,"인천광역시, 부평구, 부평동",37.4983,126.7246,2024-07-23 21:23:44.071563,1,2,0
8,"서울특별시, 중구, 소공동",37.5641,126.9753,2024-07-21 18:26:35.378836,6,6,0
9,"인천광역시, 남동구, 구월동",37.4489,126.7021,2024-06-06 21:10:12.198394,5,5,1
10,"인천광역시, 중구, 운서동",37.4923,126.4923,2024-07-24 03:54:53.293960,4,1,0
11,"서울특별시, 은평구, 녹번동",37.6009,126.9351,2024-07-26 15:47:42.884195,3,8,1
12,"서울특별시, 종로구, 혜화동",37.5823,127.0018,2024-07-09 00:40:14.117611,1,9,1
13,"서울특별시, 은평구, 녹번동",37.6009,126.9351,2024-06-28 22:22:27.649032,1,3,1
14,"경기도, 안양시, 비산동",37.3925,126.9483,2024-07-17 19:25:24.236884,3,4,0
15,"서울특별시, 강동구, 천호동",37.5459,127.1428,2024-06-13 15:22:14.773679,4,8,1
16,"서울특별시, 서초구, 서초동",37.4837,127.0324,2024-06-15 05:20:28.710112,1,1,0
17,"경기도, 고양시, 화정동",37.6347,126.8325,2024-05-30 18:39:01.324360,2,5,2
18,"경기도, 포천시, 소흘읍",37.8471,127.1633,2024-07-16 22:51:36.900957,3,7,0
19,"서울특별시, 은평구, 녹번동",37.6009,126.9351,2024-07-18 12:50:08.980886,2,3,1
20,"서울특별시, 강동구, 천호동",37.5459,127.1428,2024-07-20 12:10:58.696241,1,2,0
21,"서울특별시, 종로구, 청운동",37.5866,126.9697,2024-07-13 22:33:08.596539,3,2,0
22,"인천광역시, 계양구, 계산동",37.5372,126.7356,2024-07-28 16:09:38.629844,2,2,0
23,"인천광역시, 강화군, 강화읍",37.746,126.487,2024-07-03 23:40:48.493511,1,4,0
24,"인천광역시, 부평구, 부평동",37.4983,126.7246,2024-07-02 11:36:01.244014,4,0,0
25,"인천광역시, 동구, 화수동",37.4735,126.642,2024-07-13 12:56:18.039855,3,9,0
26,"서울특별시, 강남구, 삼성동",37.5145,127.0593,2024-07-09 16:49:59.818268,5,9,0
27,"경기도, 포천시, 소흘읍",37.8471,127.1633,2024-06-03 17:54:13.241340,5,7,1
28,"경기도, 양주시, 고암동",37.785,127.0474,2024-06-30 07:43:34.675738,4,10,1
29,"인천광역시, 남동구, 구월동",37.4489,126.7021,2024-07-11 08:29:49.142464,6,10,1
